account_id,customer_name,account_type,credit_limit,branch
ACC0137,Customer_137,Savings,500000,Delhi
ACC0291,Customer_291,Salary,200000,Pune
ACC0058,Customer_58,Salary,100000,Delhi
ACC0206,Customer_206,Current,500000,Bangalore
ACC0134,Customer_134,Savings,100000,Bangalore
ACC0460,Customer_460,Salary,200000,Pune
ACC0447,Customer_447,Savings,200000,Pune
ACC0409,Customer_409,Savings,200000,Delhi
ACC0050,Customer_50,Salary,100000,Delhi
ACC0233,Customer_233,Current,100000,Chennai
ACC0154,Customer_154,Salary,200000,Pune
ACC0151,Customer_151,Salary,100000,Bangalore
ACC0281,Customer_281,Salary,100000,Bangalore
ACC0031,Customer_31,Savings,100000,Pune
ACC0367,Customer_367,Salary,100000,Pune
ACC0386,Customer_386,Savings,200000,Pune
ACC0469,Customer_469,Current,200000,Mumbai
ACC0167,Customer_167,Savings,200000,Delhi
ACC0037,Customer_37,Current,500000,Bangalore
ACC0008,Customer_8,Savings,500000,Delhi
ACC0279,Customer_279,Savings,200000,Bangalore
ACC0094,Customer_94,Savings,50000,Pune
ACC0104,Customer_104,Salary,200000,Chennai
ACC0422,Customer_422,Current,500000,Chennai
ACC0292,Customer_292,Current,50000,Mumbai
ACC0434,Customer_434,Current,50000,Bangalore
ACC0219,Customer_219,Salary,500000,Chennai
ACC0209,Customer_209,Savings,200000,Delhi
ACC0383,Customer_383,Salary,200000,Pune
ACC0427,Customer_427,Current,200000,Chennai
ACC0090,Customer_90,Current,500000,Bangalore
ACC0359,Customer_359,Current,200000,Delhi
ACC0314,Customer_314,Savings,500000,Mumbai
ACC0377,Customer_377,Salary,200000,Mumbai
ACC0335,Customer_335,Current,50000,Delhi
ACC0357,Customer_357,Current,200000,Pune
ACC0369,Customer_369,Salary,50000,Bangalore
ACC0356,Customer_356,Current,100000,Mumbai
ACC0501,  Customer_501  , Current ,150000, Delhi 
ACC0273,Customer_273,Salary,100000,Bangalore
ACC0345,Customer_345,Savings,200000,Mumbai
ACC0503,Customer_503,Current,-50000,Pune
ACC0183,Customer_183,Current,100000,Bangalore
ACC0216,Customer_216,Savings,50000,Delhi
ACC0276,Customer_276,Savings,100000,Mumbai
ACC0448,Customer_448,Current,50000,Bangalore
ACC0109,Customer_109,Savings,100000,Bangalore
ACC0246,Customer_246,Salary,200000,Chennai
ACC0069,Customer_69,Salary,50000,Delhi
ACC0133,Customer_133,Savings,100000,Chennai
ACC0170,Customer_170,Salary,50000,Chennai
ACC0401,Customer_401,Current,200000,Delhi
ACC0128,Customer_128,Savings,50000,Bangalore
ACC0375,Customer_375,Salary,200000,Delhi
ACC0207,Customer_207,Current,200000,Mumbai
ACC0374,Customer_374,Salary,200000,Pune
ACC0113,Customer_113,Current,50000,Delhi
ACC0326,Customer_326,Current,500000,Chennai
ACC0112,Customer_112,Salary,50000,Pune
ACC0095,Customer_95,Current,100000,Mumbai
ACC0472,Customer_472,Current,100000,Delhi
ACC0070,Customer_70,Savings,50000,Bangalore
ACC0353,Customer_353,Salary,100000,Delhi
ACC0168,Customer_168,Savings,100000,Mumbai
ACC0013,Customer_13,Current,50000,Bangalore
ACC0352,Customer_352,Current,100000,Chennai
ACC0411,Customer_411,Savings,50000,Delhi
ACC0423,Customer_423,Salary,50000,Chennai
ACC0166,Customer_166,Salary,200000,Mumbai
ACC0455,Customer_455,Salary,500000,Mumbai
ACC0346,Customer_346,Savings,200000,Mumbai
ACC0365,Customer_365,Salary,500000,Bangalore
ACC0208,Customer_208,Current,50000,Pune
ACC0102,Customer_102,Savings,200000,Delhi
ACC0453,Customer_453,Current,200000,Mumbai
ACC0417,Customer_417,Current,200000,Pune
ACC0081,Customer_81,Savings,500000,Delhi
ACC0011,Customer_11,Current,100000,Delhi
ACC0354,Customer_354,Current,200000,Chennai
ACC0435,Customer_435,Current,200000,Bangalore
ACC0368,Customer_368,Current,100000,Mumbai
ACC0468,Customer_468,Savings,200000,Pune
ACC0278,Customer_278,Current,200000,Mumbai
ACC0118,Customer_118,Current,200000,Mumbai
ACC0184,Customer_184,Current,50000,Bangalore
ACC0017,Customer_17,Salary,200000,Pune
ACC0350,Customer_350,Salary,100000,Delhi
ACC0431,Customer_431,Salary,100000,Chennai
ACC0162,Customer_162,Salary,200000,Chennai
ACC0266,Customer_266,Savings,200000,Mumbai
ACC0304,Customer_304,Savings,500000,Pune
ACC0119,Customer_119,Savings,500000,Bangalore
ACC0454,Customer_454,Savings,100000,Pune
ACC0200,Customer_200,Salary,50000,Chennai
ACC0045,Customer_45,Salary,200000,Bangalore
ACC0464,Customer_464,Current,500000,Chennai
ACC0087,Customer_87,Current,500000,Delhi
ACC0282,Customer_282,Salary,100000,Chennai
ACC0253,Customer_253,Salary,200000,Mumbai
ACC0492,Customer_492,Salary,100000,Bangalore
ACC0035,Customer_35,Current,100000,Delhi
ACC0086,Customer_86,Savings,100000,Chennai
ACC0194,Customer_194,Current,200000,Chennai
ACC0474,Customer_474,Savings,50000,Chennai
ACC0149,Customer_149,Salary,100000,Bangalore
ACC0296,Customer_296,Savings,500000,Chennai
ACC0322,Customer_322,Salary,200000,Mumbai
ACC0161,Customer_161,Current,100000,Chennai
ACC0394,Customer_394,Current,100000,Chennai
ACC0188,Customer_188,Salary,100000,Delhi
ACC0252,Customer_252,Savings,500000,Bangalore
ACC0449,Customer_449,Salary,100000,Chennai
ACC0243,Customer_243,Savings,50000,Bangalore
ACC0239,Customer_239,Savings,100000,Mumbai
ACC0092,Customer_92,Savings,200000,Delhi
ACC0005,Customer_5,Current,50000,Mumbai
ACC0294,Customer_294,Salary,50000,Delhi
ACC0065,Customer_65,Savings,100000,Mumbai
ACC0096,Customer_96,Salary,50000,Delhi
ACC0264,Customer_264,Current,50000,Pune
ACC0163,Customer_163,Current,500000,Delhi
ACC0012,Customer_12,Current,50000,Mumbai
ACC0297,Customer_297,Savings,500000,Bangalore
ACC0308,Customer_308,Savings,100000,Bangalore
ACC0456,Customer_456,Savings,50000,Mumbai
ACC0006,Customer_6,Savings,100000,Delhi
ACC0142,Customer_142,Current,200000,Pune
ACC0240,Customer_240,Savings,500000,Chennai
ACC0202,Customer_202,Salary,500000,Delhi
ACC0418,Customer_418,Salary,50000,Chennai
ACC0312,Customer_312,Current,50000,Pune
ACC0245,Customer_245,Current,200000,Chennai
ACC0018,Customer_18,Current,100000,Mumbai
ACC0355,Customer_355,Current,50000,Chennai
ACC0135,Customer_135,Current,100000,Bangalore
ACC0471,Customer_471,Savings,50000,Delhi
ACC0289,Customer_289,Salary,500000,Chennai
ACC0413,Customer_413,Salary,200000,Mumbai
ACC0387,Customer_387,Savings,50000,Chennai
ACC0107,Customer_107,Salary,100000,Pune
ACC0285,Customer_285,Savings,100000,Bangalore
ACC0062,Customer_62,Salary,100000,Bangalore
ACC0091,Customer_91,Current,500000,Delhi
ACC0158,Customer_158,Salary,500000,Delhi
ACC0001,Customer_1,Salary,50000,Mumbai
ACC0220,Customer_220,Salary,100000,Mumbai
ACC0150,Customer_150,Savings,500000,Mumbai
ACC0074,Customer_74,Salary,500000,Delhi
ACC0124,Customer_124,Savings,50000,Mumbai
ACC0009,Customer_9,Current,200000,Mumbai
ACC0256,Customer_256,Savings,100000,Bangalore
ACC0272,Customer_272,Salary,50000,Delhi
ACC0033,Customer_33,Salary,500000,Chennai
ACC0235,Customer_235,Savings,500000,Bangalore
ACC0328,Customer_328,Salary,500000,Delhi
ACC0404,Customer_404,Savings,50000,Bangalore
ACC0025,Customer_25,Salary,100000,Pune
ACC0063,Customer_63,Current,200000,Chennai
ACC0155,Customer_155,Current,500000,Bangalore
ACC0421,Customer_421,Salary,50000,Mumbai
ACC0148,Customer_148,Salary,50000,Chennai
ACC0057,Customer_57,Salary,500000,Mumbai
ACC0384,Customer_384,Current,200000,Mumbai
ACC0329,Customer_329,Current,50000,Bangalore
ACC0414,Customer_414,Savings,200000,Mumbai
ACC0111,Customer_111,Salary,200000,Pune
ACC0132,Customer_132,Salary,100000,Delhi
ACC0381,Customer_381,Savings,200000,Pune
ACC0041,Customer_41,Salary,500000,Pune
ACC0003,Customer_3,Savings,100000,Mumbai
ACC0343,Customer_343,Salary,50000,Chennai
ACC0338,Customer_338,Salary,500000,Mumbai
ACC0072,Customer_72,Salary,500000,Delhi
ACC0242,Customer_242,Salary,500000,Chennai
ACC0487,Customer_487,Current,500000,Pune
ACC0364,Customer_364,Savings,50000,Pune
ACC0428,Customer_428,Salary,200000,Chennai
ACC0075,Customer_75,Current,500000,Delhi
ACC0488,Customer_488,Savings,500000,Bangalore
ACC0051,Customer_51,Current,100000,Pune
ACC0164,Customer_164,Salary,500000,Delhi
ACC0015,Customer_15,Salary,500000,Pune
ACC0115,Customer_115,Salary,100000,Bangalore
ACC0476,Customer_476,Savings,500000,Pune
ACC0412,Customer_412,Savings,200000,Delhi
ACC0420,Customer_420,Savings,200000,Chennai
ACC0121,Customer_121,Savings,200000,Delhi
ACC0192,Customer_192,Current,50000,Pune
ACC0395,Customer_395,Salary,50000,Chennai
ACC0203,Customer_203,Current,100000,Mumbai
ACC0028,Customer_28,Salary,100000,Bangalore
ACC0213,Customer_213,Savings,500000,Mumbai
ACC0014,Customer_14,Current,200000,Mumbai
ACC0179,Customer_179,Salary,500000,Pune
ACC0311,Customer_311,Savings,100000,Delhi
ACC0114,Customer_114,Current,50000,Mumbai
ACC0482,Customer_482,Current,500000,Bangalore
ACC0224,Customer_224,Salary,500000,Bangalore
ACC0076,Customer_76,Savings,50000,Chennai
ACC0263,Customer_263,Savings,50000,Chennai
ACC0458,Customer_458,Current,500000,Bangalore
ACC0140,Customer_140,Savings,100000,Chennai
ACC0327,Customer_327,Current,100000,Delhi
ACC0043,Customer_43,Salary,500000,Pune
ACC0385,Customer_385,Salary,100000,Chennai
ACC0064,Customer_64,Salary,500000,Mumbai
ACC0265,Customer_265,Salary,50000,Delhi
ACC0457,Customer_457,Salary,100000,Chennai
ACC0475,Customer_475,Salary,500000,Delhi
ACC0483,Customer_483,Savings,500000,Mumbai
ACC0247,Customer_247,Salary,200000,Bangalore
ACC0430,Customer_430,Salary,50000,Pune
ACC0129,Customer_129,Current,50000,Bangalore
ACC0372,Customer_372,Current,200000,Chennai
ACC0463,Customer_463,Savings,50000,Bangalore
ACC0103,Customer_103,Current,500000,Delhi
ACC0083,Customer_83,Current,100000,Mumbai
ACC0215,Customer_215,Salary,200000,Bangalore
ACC0271,Customer_271,Salary,50000,Pune
ACC0258,Customer_258,Current,100000,Chennai
ACC0196,Customer_196,Savings,200000,Chennai
ACC0437,Customer_437,Savings,50000,Mumbai
ACC0477,Customer_477,Salary,100000,Pune
ACC0226,Customer_226,Current,500000,Mumbai
ACC0467,Customer_467,Savings,200000,Chennai
ACC0489,Customer_489,Salary,200000,Delhi
ACC0100,Customer_100,Savings,500000,Pune
,Customer_504,Savings,100000,Chennai
ACC0390,Customer_390,Savings,200000,Chennai
ACC0123,Customer_123,Salary,500000,Pune
ACC0274,Customer_274,Salary,50000,Delhi
ACC0120,Customer_120,Savings,50000,Bangalore
ACC0230,Customer_230,Salary,500000,Chennai
ACC0419,Customer_419,Salary,100000,Pune
ACC0441,Customer_441,Salary,200000,Mumbai
ACC0228,Customer_228,Salary,100000,Chennai
ACC0122,Customer_122,Salary,500000,Pune
ACC0347,Customer_347,Current,200000,Bangalore
ACC0439,Customer_439,Salary,200000,Delhi
ACC0211,Customer_211,Savings,100000,Delhi
ACC0023,Customer_23,Current,200000,Delhi
ACC0444,Customer_444,Salary,200000,Bangalore
ACC0085,Customer_85,Salary,50000,Mumbai
ACC0320,Customer_320,Savings,100000,Mumbai
ACC0378,Customer_378,Current,50000,Delhi
ACC0084,Customer_84,Current,50000,Mumbai
ACC0079,Customer_79,Savings,500000,Bangalore
ACC0396,Customer_396,Salary,500000,Bangalore
ACC0306,Customer_306,Savings,100000,Pune
ACC0068,Customer_68,Savings,50000,Mumbai
ACC0317,Customer_317,Salary,200000,Chennai
ACC0173,Customer_173,Savings,50000,Mumbai
ACC0339,Customer_339,Current,500000,Bangalore
ACC0491,Customer_491,Salary,50000,Pune
ACC0388,Customer_388,Salary,200000,Chennai
ACC0277,Customer_277,Current,500000,Pune
ACC0479,Customer_479,Current,50000,Chennai
ACC0052,Customer_52,Salary,50000,Pune
ACC0152,Customer_152,Current,50000,Bangalore
ACC0486,Customer_486,Current,50000,Delhi
ACC0080,Customer_80,Savings,100000,Delhi
ACC0071,Customer_71,Savings,100000,Bangalore
ACC0116,Customer_116,Current,100000,Bangalore
ACC0099,Customer_99,Savings,50000,Pune
ACC0249,Customer_249,Current,200000,Delhi
ACC0175,Customer_175,Salary,500000,Mumbai
ACC0110,Customer_110,Current,100000,Chennai
ACC0093,Customer_93,Savings,50000,Bangalore
ACC0398,Customer_398,Current,500000,Delhi
ACC0382,Customer_382,Savings,500000,Bangalore
ACC0010,Customer_10,Savings,500000,Bangalore
ACC0186,Customer_186,Current,50000,Delhi
ACC0261,Customer_261,Current,200000,Delhi
ACC0217,Customer_217,Current,50000,Pune
ACC0392,Customer_392,Salary,100000,Chennai
ACC0450,Customer_450,Salary,50000,Pune
ACC0048,Customer_48,Salary,200000,Pune
ACC0270,Customer_270,Current,500000,Bangalore
ACC0351,Customer_351,Savings,50000,Pune
ACC0473,Customer_473,Current,200000,Bangalore
ACC0360,Customer_360,Current,500000,Mumbai
ACC0344,Customer_344,Savings,50000,Chennai
ACC0066,Customer_66,Current,50000,Pune
ACC0424,Customer_424,Salary,500000,Mumbai
ACC0330,Customer_330,Salary,500000,Chennai
ACC0193,Customer_193,Current,500000,Mumbai
ACC0287,Customer_287,Savings,500000,Bangalore
ACC0407,Customer_407,Savings,100000,Delhi
ACC0452,Customer_452,Savings,200000,Bangalore
ACC0446,Customer_446,Salary,500000,Delhi
ACC0480,Customer_480,Savings,500000,Mumbai
ACC0067,Customer_67,Salary,100000,Pune
ACC0201,Customer_201,Salary,50000,Mumbai
ACC0410,Customer_410,Savings,200000,Delhi
ACC0358,Customer_358,Current,500000,Bangalore
ACC0336,Customer_336,Current,100000,Mumbai
ACC0494,Customer_494,Savings,100000,Bangalore
ACC0180,Customer_180,Current,100000,Chennai
ACC0073,Customer_73,Salary,100000,Pune
ACC0340,Customer_340,Salary,500000,Pune
ACC0299,Customer_299,Salary,50000,Delhi
ACC0042,Customer_42,Savings,500000,Chennai
ACC0171,Customer_171,Current,100000,Chennai
ACC0077,Customer_77,Current,500000,Chennai
ACC0309,Customer_309,Salary,100000,Bangalore
ACC0337,Customer_337,Current,200000,Bangalore
ACC0371,Customer_371,Current,100000,Mumbai
ACC0130,Customer_130,Savings,100000,Mumbai
ACC0146,Customer_146,Savings,500000,Bangalore
ACC0198,Customer_198,Current,500000,Delhi
ACC0432,Customer_432,Current,100000,Chennai
ACC0286,Customer_286,Salary,200000,Chennai
ACC0049,Customer_49,Savings,50000,Bangalore
ACC0169,Customer_169,Savings,100000,Chennai
ACC0034,Customer_34,Salary,500000,Delhi
ACC0172,Customer_172,Current,500000,Delhi
ACC0332,Customer_332,Savings,100000,Pune
ACC0502,,Savings,75000,
ACC0405,Customer_405,Savings,100000,Pune
ACC0027,Customer_27,Current,500000,Bangalore
ACC0307,Customer_307,Current,500000,Chennai
ACC0348,Customer_348,Current,100000,Delhi
ACC0174,Customer_174,Current,100000,Delhi
ACC0397,Customer_397,Savings,200000,Delhi
ACC0210,Customer_210,Salary,50000,Mumbai
ACC0199,Customer_199,Current,100000,Pune
ACC0145,Customer_145,Salary,200000,Mumbai
ACC0191,Customer_191,Savings,100000,Chennai
ACC0187,Customer_187,Savings,100000,Chennai
ACC0082,Customer_82,Current,100000,Bangalore
ACC0313,Customer_313,Current,50000,Delhi
ACC0268,Customer_268,Current,100000,Pune
ACC0269,Customer_269,Current,500000,Chennai
ACC0445,Customer_445,Savings,100000,Delhi
ACC0225,Customer_225,Savings,200000,Mumbai
ACC0363,Customer_363,Savings,500000,Bangalore
ACC0127,Customer_127,Salary,100000,Chennai
ACC0021,Customer_21,Current,200000,Chennai
ACC0089,Customer_89,Current,50000,Chennai
ACC0485,Customer_485,Current,200000,Mumbai
ACC0259,Customer_259,Savings,50000,Pune
ACC0044,Customer_44,Current,50000,Mumbai
ACC0366,Customer_366,Savings,200000,Delhi
ACC0176,Customer_176,Salary,100000,Mumbai
ACC0429,Customer_429,Salary,500000,Mumbai
ACC0416,Customer_416,Savings,50000,Chennai
ACC0053,Customer_53,Current,500000,Mumbai
ACC0470,Customer_470,Savings,500000,Pune
ACC0032,Customer_32,Salary,200000,Delhi
ACC0078,Customer_78,Current,50000,Mumbai
ACC0257,Customer_257,Savings,50000,Pune
ACC0244,Customer_244,Savings,500000,Delhi
ACC0310,Customer_310,Current,500000,Mumbai
ACC0165,Customer_165,Salary,50000,Bangalore
ACC0097,Customer_97,Savings,50000,Delhi
ACC0334,Customer_334,Current,50000,Pune
ACC0293,Customer_293,Savings,50000,Bangalore
ACC0415,Customer_415,Savings,500000,Pune
ACC0466,Customer_466,Current,100000,Pune
ACC0231,Customer_231,Current,200000,Bangalore
ACC0022,Customer_22,Salary,200000,Delhi
ACC0459,Customer_459,Savings,200000,Bangalore
ACC0379,Customer_379,Savings,500000,Pune
ACC0406,Customer_406,Savings,50000,Pune
ACC0284,Customer_284,Current,100000,Mumbai
ACC0298,Customer_298,Current,200000,Bangalore
ACC0493,Customer_493,Current,100000,Delhi
ACC0197,Customer_197,Current,50000,Chennai
ACC0496,Customer_496,Savings,50000,Delhi
ACC0305,Customer_305,Savings,500000,Chennai
ACC0315,Customer_315,Salary,100000,Chennai
ACC0047,Customer_47,Savings,500000,Mumbai
ACC0438,Customer_438,Savings,500000,Mumbai
ACC0443,Customer_443,Salary,50000,Bangalore
ACC0331,Customer_331,Current,100000,Chennai
ACC0040,Customer_40,Savings,100000,Delhi
ACC0147,Customer_147,Salary,200000,Chennai
ACC0426,Customer_426,Savings,50000,Delhi
ACC0189,Customer_189,Savings,500000,Chennai
ACC0030,Customer_30,Current,500000,Bangalore
ACC0020,Customer_20,Savings,100000,Mumbai
ACC0232,Customer_232,Savings,50000,Bangalore
ACC0237,Customer_237,Current,200000,Bangalore
ACC0159,Customer_159,Salary,200000,Chennai
ACC0038,Customer_38,Savings,100000,Pune
ACC0260,Customer_260,Current,500000,Chennai
ACC0181,Customer_181,Current,200000,Delhi
ACC0029,Customer_29,Savings,100000,Mumbai
ACC0303,Customer_303,Current,200000,Bangalore
ACC0141,Customer_141,Current,200000,Mumbai
ACC0408,Customer_408,Current,100000,Pune
ACC0156,Customer_156,Current,200000,Pune
ACC0324,Customer_324,Salary,500000,Delhi
ACC0227,Customer_227,Current,200000,Chennai
ACC0241,Customer_241,Salary,100000,Chennai
