txn_id,account_id,txn_date,amount,merchant
TXN004237,ACC0123,2025-02-22,137477.06,Zomato
TXN017308,ACC0267,2025-03-11,18611.47,ATM_Withdrawal
TXN007246,ACC0206,2025-03-18,54971.85,Swiggy
TXN012285,ACC0027,2025-05-05,8783.03,Amazon
TXN019616,ACC0256,2025-03-15,57710.16,ATM_Withdrawal
TXN002612,ACC0423,2025-06-01,18559.19,ATM_Withdrawal
TXN016581,ACC0151,2025-03-23,69233.55,ATM_Withdrawal
TXN017261,ACC0209,2025-02-07,76709.67,ATM_Withdrawal
TXN002825,ACC0190,2025-02-22,42311.54,Unknown_POS
TXN008804,ACC0147,2025-06-28,81279.62,Zomato
TXN018533,ACC0438,2025-04-01,26084.84,BigBasket
TXN014477,ACC0048,2025-02-05,89383.26,Amazon
TXN019383,ACC0144,2025-01-29,121883.61,Swiggy
TXN012933,ACC0206,2025-06-07,3511.39,Unknown_POS
TXN000146,ACC0204,2025-03-03,82834.29,Uber
TXN003906,ACC0162,2025-05-05,29845.49,Amazon
TXN003769,ACC0021,2025-03-16,90188.0,Unknown_POS
TXN010980,ACC0278,2025-07-06,87104.55,Amazon
TXN007198,ACC0433,2025-06-01,47244.11,BigBasket
TXN015748,ACC0253,2025-04-14,55393.24,Unknown_POS
TXN000004,ACC0432,2025-05-25,6227.09,Amazon
TXN010345,ACC0317,2025-01-30,17079.31,Amazon
TXN018086,ACC0421,2025-03-21,89650.13,Amazon
TXN007538,ACC0438,2025-05-27,110542.53,Flipkart
TXN014481,ACC0401,2025-04-27,101025.87,Swiggy
TXN002582,ACC0096,2025-03-27,134985.39,Swiggy
TXN014259,ACC0082,2025-01-17,87029.03,Swiggy
TXN018950,ACC0444,2025-01-25,16726.05,Swiggy
TXN009900,ACC0268,2025-04-18,38603.97,Uber
TXN002554,ACC0054,2025-03-29,31338.79,BigBasket
TXN004300,ACC0297,2025-04-09,95534.71,Zomato
TXN011326,ACC0177,2025-01-01,27238.66,ATM_Withdrawal
TXN019421,ACC0323,2025-05-23,104372.86,Unknown_POS
TXN013446,ACC0132,2025-02-23,112723.14,Zomato
TXN009186,ACC0104,2025-03-25,17557.43,ATM_Withdrawal
TXN011146,ACC0302,2025-02-14,2325.89,Unknown_POS
TXN015224,ACC0233,2025-05-24,109450.52,Unknown_POS
TXN004520,ACC0214,2025-02-01,73391.03,ATM_Withdrawal
TXN010530,ACC0373,2025-07-11,23248.72,Flipkart
TXN012466,ACC0393,2025-04-20,131503.59,Swiggy
TXN900001,,2025-03-01,4500.0,Amazon
TXN009490,ACC0238,2025-06-15,83842.84,Swiggy
TXN001828,ACC0481,2025-04-20,96162.89,Amazon
TXN016694,ACC0142,2025-07-13,40597.17,Zomato
TXN009155,ACC0308,2025-04-10,131791.58,ATM_Withdrawal
TXN001552,ACC0469,2025-04-23,94721.34,Unknown_POS
TXN019311,ACC0015,2025-07-28,96284.32,Zomato
TXN005171,ACC0375,2025-03-12,118623.59,Amazon
TXN008986,ACC0347,2025-02-24,12091.38,BigBasket
TXN016432,ACC0054,2025-03-05,66181.32,Zomato
TXN001135,ACC0055,2025-04-09,8117.29,Unknown_POS
TXN019978,ACC0109,2025-06-30,34153.86,Amazon
TXN014385,ACC0455,2025-07-05,49937.67,Flipkart
TXN015712,ACC0003,2025-06-25,6670.72,Amazon
TXN000257,ACC0094,2025-04-06,104030.81,Unknown_POS
TXN005215,ACC0165,2025-02-22,7479.33,BigBasket
TXN007293,ACC0452,2025-07-12,100834.15,Flipkart
TXN001356,ACC0428,2025-05-14,96718.57,Unknown_POS
TXN012497,ACC0266,2025-07-04,22836.8,Swiggy
TXN013967,ACC0433,2025-01-29,138943.79,Swiggy
TXN015374,ACC0278,2025-07-30,99227.59,Swiggy
TXN016590,ACC0243,2025-04-27,7737.41,Flipkart
TXN000177,ACC0043,2025-05-08,126807.2,BigBasket
TXN001284,ACC0406,2025-06-11,91885.6,Swiggy
TXN019524,ACC0340,2025-04-09,76781.55,BigBasket
TXN016964,ACC0006,2025-04-12,104933.59,Uber
TXN003448,ACC0494,2025-05-18,7912.67,Unknown_POS
TXN007961,ACC0121,2025-02-19,114048.24,Amazon
TXN013059,ACC0349,2025-05-27,56120.37,Unknown_POS
TXN003735,ACC0251,2025-01-30,48856.82,BigBasket
TXN007110,ACC0263,2025-07-21,121625.64,Swiggy
TXN017166,ACC0144,2025-05-02,120779.03,Zomato
TXN012968,ACC0348,2025-07-11,56609.49,ATM_Withdrawal
TXN002977,ACC0236,2025-01-21,131585.9,Zomato
TXN007852,ACC0173,2025-07-28,99317.45,Flipkart
TXN016387,ACC0411,2025-03-09,115852.14,Swiggy
TXN009097,ACC0345,2025-01-24,25244.35,Flipkart
TXN019389,ACC0419,2025-01-07,123204.97,Swiggy
TXN019361,ACC0466,2025-02-09,123542.05,Flipkart
TXN007942,ACC0126,2025-01-28,17511.36,Amazon
TXN000479,ACC0104,2025-07-30,94102.57,Uber
TXN010312,ACC0043,2025-05-14,143563.6,BigBasket
TXN002472,ACC0015,2025-06-08,106151.01,Flipkart
TXN015468,ACC0300,2025-06-23,138216.28,Flipkart
TXN016516,ACC0026,2025-06-07,91429.63,ATM_Withdrawal
TXN016996,ACC0325,2025-05-17,65716.63,Swiggy
TXN015287,ACC0426,2025-06-25,47757.44,Flipkart
TXN017101,ACC0120,2025-01-16,50071.03,Uber
TXN004388,ACC0187,2025-07-15,387.61,Swiggy
TXN001673,ACC0230,2025-06-28,65462.69,Swiggy
TXN008520,ACC0216,2025-05-28,83033.27,Uber
TXN002349,ACC0194,2025-07-07,4000.72,Unknown_POS
TXN004666,ACC0479,2025-02-10,76659.2,ATM_Withdrawal
TXN007890,ACC0347,2025-06-12,100261.05,Zomato
TXN002366,ACC0419,2025-06-27,70291.99,BigBasket
TXN002560,ACC0352,2025-03-20,142726.61,Flipkart
TXN001977,ACC0227,2025-06-28,7211.02,Flipkart
TXN014703,ACC0179,2025-06-28,100373.63,Flipkart
TXN004718,ACC0161,2025-07-25,99003.0,Flipkart
TXN012128,ACC0254,2025-01-05,38812.92,Amazon
TXN015474,ACC0403,2025-05-23,86415.56,BigBasket
TXN008459,ACC0489,2025-05-22,49987.95,Amazon
TXN006278,ACC0338,2025-04-24,80150.02,Amazon
TXN004220,ACC0189,2025-07-04,108798.02,Unknown_POS
TXN010368,ACC0260,2025-04-12,131207.2,Swiggy
TXN017063,ACC0104,2025-02-14,14344.98,BigBasket
TXN009521,ACC0173,2025-01-18,127466.95,Swiggy
TXN001077,ACC0477,2025-01-10,14014.29,Uber
TXN011997,ACC0485,2025-01-20,85149.97,BigBasket
TXN010428,ACC0393,2025-04-09,42962.96,Uber
TXN008558,ACC0359,2025-02-08,97235.1,Uber
TXN018833,ACC0264,2025-05-24,137688.71,BigBasket
TXN003177,ACC0254,2025-02-11,26860.34,Unknown_POS
TXN012471,ACC0498,2025-04-15,149042.86,BigBasket
TXN011368,ACC0287,2025-05-06,114597.87,BigBasket
TXN010433,ACC0339,2025-04-27,60818.91,Swiggy
TXN004872,ACC0370,2025-07-07,54997.88,Swiggy
TXN015504,ACC0428,2025-04-01,67543.12,ATM_Withdrawal
TXN019793,ACC0408,2025-05-20,26100.34,BigBasket
TXN008059,ACC0120,2025-03-12,51091.02,Zomato
TXN012244,ACC0205,2025-03-12,109293.73,Amazon
TXN004662,ACC0215,2025-05-02,48063.71,Flipkart
TXN005673,ACC0216,2025-06-14,93845.21,BigBasket
TXN003209,ACC0286,2025-05-16,122605.63,Amazon
TXN008490,ACC0296,2025-07-05,90110.87,Uber
TXN004565,ACC0091,2025-01-26,13560.56,Amazon
TXN011929,ACC0028,2025-07-08,36583.87,Swiggy
TXN016830,ACC0050,2025-03-28,38975.59,Flipkart
TXN007747,ACC0394,2025-06-06,128796.43,Amazon
TXN009731,ACC0072,2025-05-13,51114.59,Flipkart
TXN012468,ACC0371,2025-02-25,57110.38,Amazon
TXN004112,ACC0009,2025-07-19,35201.42,ATM_Withdrawal
TXN005439,ACC0061,2025-01-09,24645.76,Swiggy
TXN010164,ACC0337,2025-03-03,49260.37,Unknown_POS
TXN010093,ACC0016,2025-02-21,135286.03,Uber
TXN014808,ACC0398,2025-04-28,124060.07,Swiggy
TXN007364,ACC0112,2025-05-05,137082.7,Flipkart
TXN014342,ACC0103,2025-02-22,71524.52,Uber
TXN004993,ACC0409,2025-01-03,132717.41,Swiggy
TXN009283,ACC0196,2025-04-27,91983.88,Unknown_POS
TXN009479,ACC0341,2025-06-21,133426.58,ATM_Withdrawal
TXN007963,ACC0360,2025-01-11,26860.68,ATM_Withdrawal
TXN013125,ACC0038,2025-02-04,133002.08,ATM_Withdrawal
TXN012364,ACC0113,2025-07-22,1953.27,Zomato
TXN007225,ACC0213,2025-04-27,30009.46,ATM_Withdrawal
TXN003331,ACC0389,2025-03-16,33733.78,Flipkart
TXN015085,ACC0317,2025-06-03,6880.22,Zomato
TXN004458,ACC0146,2025-07-17,118878.52,Amazon
TXN007543,ACC0281,2025-01-27,102442.95,BigBasket
TXN015035,ACC0006,2025-01-25,20822.33,Zomato
TXN002907,ACC0225,2025-01-30,5907.34,Unknown_POS
TXN002026,ACC0011,2025-07-15,57243.83,Flipkart
TXN013603,ACC0098,2025-07-11,47836.7,Unknown_POS
TXN013056,ACC0150,2025-02-17,51451.68,BigBasket
TXN018299,ACC0135,2025-03-25,118830.73,Amazon
TXN018227,ACC0469,2025-07-07,25632.83,ATM_Withdrawal
TXN001172,ACC0361,2025-05-24,123121.95,BigBasket
TXN001044,ACC0208,2025-07-18,6321.85,Unknown_POS
TXN019955,ACC0474,2025-05-03,62865.91,Unknown_POS
TXN003029,ACC0023,2025-02-24,45325.59,Flipkart
TXN014986,ACC0439,2025-05-02,126363.55,ATM_Withdrawal
TXN000244,ACC0491,2025-04-29,34816.74,Unknown_POS
TXN006541,ACC0333,2025-05-06,1106.07,Unknown_POS
TXN008510,ACC0044,2025-02-10,26041.78,Unknown_POS
TXN018791,ACC0339,2025-02-13,132217.07,Swiggy
TXN007238,ACC0370,2025-06-07,123234.83,Swiggy
TXN008401,ACC0362,2025-07-14,88971.68,Flipkart
TXN016450,ACC0042,2025-01-11,15913.33,Uber
TXN003184,ACC0166,2025-02-10,28826.01,Unknown_POS
TXN002663,ACC0179,2025-06-30,78782.09,Flipkart
TXN002699,ACC0205,2025-06-08,8544.4,Flipkart
TXN014960,ACC0387,2025-04-11,12205.24,Swiggy
TXN017273,ACC0338,2025-04-19,38123.13,Amazon
TXN019309,ACC0092,2025-07-18,2502.43,Flipkart
TXN009506,ACC0430,2025-02-05,86501.95,Swiggy
TXN002257,ACC0187,2025-03-27,45688.29,Flipkart
TXN014106,ACC0056,2025-04-27,118425.76,Uber
TXN011121,ACC0319,2025-05-11,123546.49,Uber
TXN003682,ACC0412,2025-01-28,111434.87,Zomato
TXN014700,ACC0297,2025-03-21,46754.27,ATM_Withdrawal
TXN010633,ACC0199,2025-03-06,61129.46,Amazon
TXN010084,ACC0095,2025-01-19,23187.17,Zomato
TXN002896,ACC0316,2025-05-02,78534.68,Zomato
TXN002389,ACC0021,2025-07-02,116137.54,Unknown_POS
TXN011470,ACC0062,2025-04-30,135566.28,Zomato
TXN017619,ACC0384,2025-05-24,25244.18,BigBasket
TXN018125,ACC0255,2025-04-02,5430.55,BigBasket
TXN000641,ACC0364,2025-06-16,146278.16,Swiggy
TXN016617,ACC0443,2025-07-07,91356.62,Uber
TXN012641,ACC0399,2025-03-31,27892.17,Zomato
TXN008834,ACC0046,2025-05-13,91155.39,Unknown_POS
TXN001975,ACC0079,2025-04-23,53745.14,Zomato
TXN019244,ACC0424,2025-01-15,12328.45,Amazon
TXN009059,ACC0364,2025-05-09,106658.01,Flipkart
TXN002368,ACC0085,2025-01-14,120510.72,Unknown_POS
TXN002463,ACC0316,2025-06-14,59028.0,Amazon
TXN017689,ACC0316,2025-01-30,107008.93,Amazon
TXN007168,ACC0013,2025-06-28,121355.42,ATM_Withdrawal
TXN002674,ACC0479,2025-06-23,71488.13,Zomato
TXN014061,ACC0231,2025-06-20,729.34,Uber
TXN005872,ACC0083,2025-02-28,110166.08,Amazon
TXN010724,ACC0210,2025-01-09,105835.71,ATM_Withdrawal
TXN013807,ACC0001,2025-01-20,9688.89,Zomato
TXN010673,ACC0352,2025-04-20,128549.29,BigBasket
TXN017611,ACC0413,2025-05-29,148542.61,Swiggy
TXN001476,ACC0437,2025-04-07,66411.29,Amazon
TXN006704,ACC0066,2025-07-15,95086.87,BigBasket
TXN004086,ACC0138,2025-03-05,92476.91,Flipkart
TXN009544,ACC0187,2025-02-08,19080.1,Flipkart
TXN013251,ACC0269,2025-06-22,8411.73,Uber
TXN015127,ACC0104,2025-03-10,10801.77,ATM_Withdrawal
TXN019085,ACC0178,2025-07-03,120995.58,BigBasket
TXN013252,ACC0097,2025-01-21,118422.81,Unknown_POS
TXN012444,ACC0062,2025-03-22,97210.68,BigBasket
TXN019394,ACC0402,2025-06-03,135575.47,ATM_Withdrawal
TXN004975,ACC0131,2025-02-03,134831.65,Swiggy
TXN018259,ACC0433,2025-06-11,64297.02,Zomato
TXN006362,ACC0454,2025-02-01,83081.66,Zomato
TXN010835,ACC0247,2025-04-17,108514.69,Swiggy
TXN008559,ACC0212,2025-01-22,100470.15,BigBasket
TXN019671,ACC0453,2025-03-13,116557.8,Swiggy
TXN018649,ACC0001,2025-05-12,55680.64,ATM_Withdrawal
TXN003763,ACC0351,2025-02-02,89034.69,Amazon
TXN016905,ACC0030,2025-07-01,48082.54,Flipkart
TXN013170,ACC0301,2025-04-15,12989.59,Amazon
TXN000043,ACC0269,2025-06-11,108191.37,Unknown_POS
TXN001704,ACC0367,2025-07-13,62280.54,Zomato
TXN013970,ACC0300,2025-03-05,29498.33,ATM_Withdrawal
TXN002808,ACC0376,2025-02-16,108569.93,Flipkart
TXN016926,ACC0038,2025-05-21,65024.85,Amazon
TXN000261,ACC0096,2025-03-22,126305.68,Amazon
TXN009409,ACC0139,2025-07-03,49459.76,BigBasket
TXN001347,ACC0241,2025-07-01,79809.08,Uber
TXN016883,ACC0131,2025-04-13,5523.43,Flipkart
TXN007928,ACC0148,2025-02-21,24636.32,Zomato
TXN005822,ACC0268,2025-07-10,569.29,Swiggy
TXN000719,ACC0365,2025-07-09,96143.74,Uber
TXN005790,ACC0272,2025-02-07,69566.72,Amazon
TXN017164,ACC0392,2025-06-25,87791.19,Uber
TXN012206,ACC0211,2025-02-07,72181.95,BigBasket
TXN004270,ACC0067,2025-05-14,80438.95,Amazon
TXN018152,ACC0280,2025-07-15,132761.24,BigBasket
TXN018205,ACC0318,2025-01-29,89955.03,Uber
TXN006610,ACC0212,2025-04-22,142884.35,Amazon
TXN008072,ACC0078,2025-06-15,122682.06,Uber
TXN017844,ACC0011,2025-06-08,63476.7,Unknown_POS
TXN012601,ACC0219,2025-07-04,87431.29,Uber
TXN009872,ACC0179,2025-05-05,120738.43,BigBasket
TXN004641,ACC0249,2025-05-03,85674.13,Zomato
TXN011961,ACC0489,2025-01-24,121901.24,ATM_Withdrawal
TXN004992,ACC0489,2025-03-03,62891.09,Swiggy
TXN018817,ACC0423,2025-03-05,97123.46,Amazon
TXN012240,ACC0473,2025-03-23,84588.82,Swiggy
TXN003933,ACC0214,2025-07-24,123897.02,Swiggy
TXN002387,ACC0230,2025-07-21,19723.08,Uber
TXN015742,ACC0124,2025-05-10,121768.74,Zomato
TXN004626,ACC0387,2025-01-18,119275.75,Amazon
TXN003455,ACC0474,2025-03-16,760.58,Zomato
TXN014749,ACC0042,2025-01-13,63158.13,Unknown_POS
TXN016845,ACC0434,2025-01-14,89108.87,Uber
TXN009318,ACC0162,2025-02-28,96270.33,Uber
TXN011591,ACC0168,2025-02-17,1119.83,Unknown_POS
TXN003493,ACC0289,2025-01-15,122065.22,Flipkart
TXN008546,ACC0069,2025-05-23,102722.6,Zomato
TXN008203,ACC0391,2025-04-10,40801.35,ATM_Withdrawal
TXN005792,ACC0116,2025-03-28,101591.37,Uber
TXN011269,ACC0184,2025-06-23,11629.21,Uber
TXN010676,ACC0471,2025-06-16,145167.52,Flipkart
TXN008596,ACC0493,2025-05-17,37580.28,Unknown_POS
TXN000331,ACC0008,2025-03-09,32400.65,Amazon
TXN000578,ACC0465,2025-01-29,125293.06,ATM_Withdrawal
TXN012806,ACC0214,2025-01-06,55939.64,Zomato
TXN007519,ACC0384,2025-04-28,118092.36,Amazon
TXN017662,ACC0126,2025-07-16,88067.33,Flipkart
TXN009620,ACC0201,2025-02-16,130408.8,ATM_Withdrawal
TXN014177,ACC0177,2025-05-03,105351.94,Uber
TXN007046,ACC0335,2025-05-10,138235.18,Zomato
TXN007900,ACC0278,2025-01-24,148624.53,Unknown_POS
TXN018068,ACC0471,2025-06-01,19661.79,Uber
TXN019443,ACC0151,2025-06-29,116294.24,Uber
TXN004834,ACC0002,2025-02-20,110013.62,Amazon
TXN013810,ACC0189,2025-06-10,148042.85,ATM_Withdrawal
TXN000992,ACC0179,2025-02-18,48144.72,Amazon
TXN009674,ACC0071,2025-05-29,33193.19,ATM_Withdrawal
TXN004056,ACC0126,2025-03-21,80585.38,Unknown_POS
TXN012239,ACC0176,2025-04-02,89945.87,ATM_Withdrawal
TXN012606,ACC0290,2025-05-14,141064.76,Uber
TXN006342,ACC0159,2025-05-19,63487.43,ATM_Withdrawal
TXN007846,ACC0132,2025-06-07,64438.49,Uber
TXN019916,ACC0426,2025-03-17,110069.46,Unknown_POS
TXN005643,ACC0230,2025-06-27,97937.02,Amazon
TXN007710,ACC0168,2025-03-08,40921.22,Amazon
TXN004837,ACC0484,2025-03-26,142876.91,Unknown_POS
TXN008000,ACC0469,2025-02-16,44889.06,ATM_Withdrawal
TXN000615,ACC0487,2025-03-29,54533.2,Amazon
TXN002327,ACC0348,2025-04-19,22575.49,Uber
TXN019289,ACC0068,2025-03-08,54568.5,Flipkart
TXN012509,ACC0453,2025-01-01,69085.45,Uber
TXN015715,ACC0384,2025-02-12,6425.11,Zomato
TXN017237,ACC0222,2025-03-10,127221.39,Unknown_POS
TXN000039,ACC0189,2025-03-26,101087.27,Unknown_POS
TXN016577,ACC0295,2025-05-21,143648.74,ATM_Withdrawal
TXN008454,ACC0252,2025-05-11,80213.49,Unknown_POS
TXN010240,ACC0085,2025-04-24,59726.12,Zomato
TXN015087,ACC0120,2025-07-25,84178.88,Unknown_POS
TXN010346,ACC0460,2025-07-03,103508.05,ATM_Withdrawal
TXN008888,ACC0328,2025-02-24,72534.82,ATM_Withdrawal
TXN002445,ACC0278,2025-04-22,57265.42,Unknown_POS
TXN006939,ACC0252,2025-06-18,83083.94,ATM_Withdrawal
TXN002819,ACC0454,2025-02-13,43307.4,Uber
TXN014824,ACC0224,2025-04-12,59215.39,Unknown_POS
TXN017332,ACC0453,2025-02-01,15856.09,BigBasket
TXN016080,ACC0361,2025-06-10,100760.03,Swiggy
TXN015684,ACC0154,2025-07-08,123867.06,ATM_Withdrawal
TXN018423,ACC0499,2025-01-16,13444.49,BigBasket
TXN005405,ACC0271,2025-05-03,48838.76,Amazon
TXN012666,ACC0158,2025-02-18,3207.53,ATM_Withdrawal
TXN019426,ACC0161,2025-04-20,84128.43,Flipkart
TXN010715,ACC0363,2025-05-30,127629.75,BigBasket
TXN016438,ACC0356,2025-02-15,96339.47,Swiggy
TXN019523,ACC0021,2025-01-13,16407.4,ATM_Withdrawal
TXN001650,ACC0447,2025-06-22,15994.28,Amazon
TXN003045,ACC0264,2025-07-28,92197.29,ATM_Withdrawal
TXN015171,ACC0277,2025-07-12,96906.95,Swiggy
TXN006797,ACC0030,2025-01-08,55418.17,BigBasket
TXN013911,ACC0078,2025-05-01,25854.66,BigBasket
TXN004510,ACC0102,2025-04-24,118092.39,Zomato
TXN016547,ACC0236,2025-02-23,70038.41,Swiggy
TXN001837,ACC0101,2025-02-12,49417.23,Flipkart
TXN009909,ACC0126,2025-02-04,46228.26,Unknown_POS
TXN005846,ACC0430,2025-04-15,134202.64,Swiggy
TXN006976,ACC0250,2025-04-13,114902.3,ATM_Withdrawal
TXN019891,ACC0163,2025-07-06,105095.36,ATM_Withdrawal
TXN014018,ACC0256,2025-07-30,62517.34,Swiggy
TXN012542,ACC0388,2025-03-24,9712.12,Unknown_POS
TXN016239,ACC0498,2025-01-14,143948.05,Zomato
TXN015314,ACC0264,2025-07-13,95854.88,Zomato
TXN007464,ACC0235,2025-06-29,128010.21,Amazon
TXN003164,ACC0245,2025-01-30,66312.62,ATM_Withdrawal
TXN014583,ACC0362,2025-03-12,138536.39,Swiggy
TXN002769,ACC0058,2025-05-11,11663.66,Zomato
TXN018136,ACC0293,2025-07-18,25969.97,Uber
TXN000401,ACC0089,2025-04-01,32246.68,Swiggy
TXN002876,ACC0324,2025-07-17,103226.1,Amazon
TXN015396,ACC0145,2025-03-03,127043.69,Swiggy
TXN015717,ACC0271,2025-05-27,79274.39,Uber
TXN017687,ACC0215,2025-05-24,103877.74,BigBasket
TXN011094,ACC0021,2025-07-09,101492.37,Flipkart
TXN010854,ACC0168,2025-06-20,45449.55,Amazon
TXN012402,ACC0408,2025-02-27,17768.41,Flipkart
TXN013483,ACC0325,2025-04-02,12532.51,Zomato
