txn_id,account_id,txn_date,amount,merchant,ingestion_timestamp,source_system
TXN001248,ACC0478,2025-01-10,99707.65,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN009370,ACC0271,2025-02-22,114214.71,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN006954,ACC0426,2025-01-31,3300.95,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN003697,ACC0498,2025-04-19,111289.88,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN007048,ACC0227,2025-01-22,22006.71,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN008897,ACC0038,2025-07-04,140404.5,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN013756,ACC0347,2025-05-24,82041.11,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN014527,ACC0494,2025-04-23,78389.65,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN009503,ACC0138,2025-07-16,143274.82,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN019931,ACC0092,2025-06-07,102853.54,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN013531,ACC0255,2025-01-01,77742.16,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN004199,ACC0208,2025-04-07,84472.08,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN019533,ACC0414,2025-01-13,21796.16,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN019571,ACC0379,2025-01-17,87608.86,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN007673,ACC0108,2025-01-11,65546.6,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN007166,ACC0360,2025-07-26,86153.95,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN014582,ACC0162,2025-03-25,5453.24,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN017692,ACC0148,2025-05-28,130862.4,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN005717,ACC0351,2025-02-26,37393.72,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012417,ACC0446,2025-07-04,58341.45,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN008191,ACC0135,2025-01-21,42171.51,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN006868,ACC0109,2025-03-19,76866.95,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN005196,ACC0094,2025-03-01,18747.15,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN000378,ACC0436,2025-03-22,138909.99,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN011137,ACC0198,2025-03-07,14149.07,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN007003,ACC0141,2025-05-12,96876.65,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN016462,ACC0197,2025-03-01,81343.86,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN014589,ACC0334,2025-07-16,20790.84,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN016296,ACC0313,2025-05-31,124521.75,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN007099,ACC0270,2025-07-30,89298.54,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN011985,ACC0410,2025-06-29,129367.97,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN014943,ACC0476,2025-03-16,26517.62,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN014558,ACC0029,2025-01-17,77069.42,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN008669,ACC0096,2025-05-01,21646.57,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN014611,ACC0466,2025-04-15,51658.65,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN012287,ACC0327,2025-04-13,139899.78,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN018738,ACC0380,2025-02-26,576.66,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN002310,ACC0074,2025-06-10,89965.6,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN015547,ACC0288,2025-04-18,15303.55,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN004447,ACC0475,2025-01-29,137086.37,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN017202,ACC0279,2025-04-24,86037.89,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN004177,ACC0266,2025-02-07,93744.77,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN008285,ACC0245,2025-02-02,29536.49,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN007252,ACC0384,2025-03-15,94325.18,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN006857,ACC0228,2025-01-12,12495.0,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN005974,ACC0063,2025-02-02,124756.41,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN002747,ACC0414,2025-01-28,83016.46,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN012693,ACC0260,2025-07-08,149310.65,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN001090,ACC0363,2025-03-16,146889.69,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN007001,ACC0039,2025-06-25,32075.85,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN011134,ACC0098,2025-07-23,133158.74,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015102,ACC0286,2025-02-11,132174.98,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN018747,ACC0446,2025-05-10,88681.13,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN014559,ACC0190,2025-06-11,101353.98,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN000102,ACC0415,2025-01-15,68042.17,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN019447,ACC0222,2025-05-30,2868.51,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN004639,ACC0053,2025-04-16,136215.96,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN016685,ACC0234,2025-03-02,135216.99,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN014800,ACC0159,2025-07-15,99817.38,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN000695,ACC0329,2025-07-04,92771.49,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN007815,ACC0202,2025-07-14,113828.92,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN000878,ACC0466,2025-03-30,72273.67,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN007061,ACC0484,2025-02-05,147962.71,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN001593,ACC0496,2025-05-24,6216.69,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN019012,ACC0423,2025-01-14,84917.99,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN007352,ACC0298,2025-06-07,67346.91,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN012772,ACC0468,2025-04-12,113865.64,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN008216,ACC0124,2025-01-23,102832.49,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN004237,ACC0123,2025-02-22,137477.06,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN017308,ACC0267,2025-03-11,18611.47,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN007246,ACC0206,2025-03-18,54971.85,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN012285,ACC0027,2025-05-05,8783.03,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN019616,ACC0256,2025-03-15,57710.16,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN002612,ACC0423,2025-06-01,18559.19,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN016581,ACC0151,2025-03-23,69233.55,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN017261,ACC0209,2025-02-07,76709.67,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN002825,ACC0190,2025-02-22,42311.54,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN008804,ACC0147,2025-06-28,81279.62,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN018533,ACC0438,2025-04-01,26084.84,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN014477,ACC0048,2025-02-05,89383.26,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN019383,ACC0144,2025-01-29,121883.61,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN012933,ACC0206,2025-06-07,3511.39,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN000146,ACC0204,2025-03-03,82834.29,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN003906,ACC0162,2025-05-05,29845.49,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN003769,ACC0021,2025-03-16,90188.0,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN010980,ACC0278,2025-07-06,87104.55,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN007198,ACC0433,2025-06-01,47244.11,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN015748,ACC0253,2025-04-14,55393.24,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN000004,ACC0432,2025-05-25,6227.09,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN010345,ACC0317,2025-01-30,17079.31,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN018086,ACC0421,2025-03-21,89650.13,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN007538,ACC0438,2025-05-27,110542.53,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN014481,ACC0401,2025-04-27,101025.87,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN002582,ACC0096,2025-03-27,134985.39,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN014259,ACC0082,2025-01-17,87029.03,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN018950,ACC0444,2025-01-25,16726.05,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN009900,ACC0268,2025-04-18,38603.97,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN002554,ACC0054,2025-03-29,31338.79,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN004300,ACC0297,2025-04-09,95534.71,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN011326,ACC0177,2025-01-01,27238.66,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN019421,ACC0323,2025-05-23,104372.86,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN013446,ACC0132,2025-02-23,112723.14,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN009186,ACC0104,2025-03-25,17557.43,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN011146,ACC0302,2025-02-14,2325.89,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN015224,ACC0233,2025-05-24,109450.52,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN004520,ACC0214,2025-02-01,73391.03,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN010530,ACC0373,2025-07-11,23248.72,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012466,ACC0393,2025-04-20,131503.59,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN900001,,2025-03-01,4500.0,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN009490,ACC0238,2025-06-15,83842.84,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN001828,ACC0481,2025-04-20,96162.89,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN016694,ACC0142,2025-07-13,40597.17,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN009155,ACC0308,2025-04-10,131791.58,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN001552,ACC0469,2025-04-23,94721.34,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN019311,ACC0015,2025-07-28,96284.32,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN005171,ACC0375,2025-03-12,118623.59,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN008986,ACC0347,2025-02-24,12091.38,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN016432,ACC0054,2025-03-05,66181.32,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN001135,ACC0055,2025-04-09,8117.29,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN019978,ACC0109,2025-06-30,34153.86,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN014385,ACC0455,2025-07-05,49937.67,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN015712,ACC0003,2025-06-25,6670.72,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN000257,ACC0094,2025-04-06,104030.81,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN005215,ACC0165,2025-02-22,7479.33,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN007293,ACC0452,2025-07-12,100834.15,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN001356,ACC0428,2025-05-14,96718.57,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN012497,ACC0266,2025-07-04,22836.8,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN013967,ACC0433,2025-01-29,138943.79,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015374,ACC0278,2025-07-30,99227.59,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN016590,ACC0243,2025-04-27,7737.41,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN000177,ACC0043,2025-05-08,126807.2,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN001284,ACC0406,2025-06-11,91885.6,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN019524,ACC0340,2025-04-09,76781.55,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN016964,ACC0006,2025-04-12,104933.59,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN003448,ACC0494,2025-05-18,7912.67,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN007961,ACC0121,2025-02-19,114048.24,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN013059,ACC0349,2025-05-27,56120.37,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN003735,ACC0251,2025-01-30,48856.82,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN007110,ACC0263,2025-07-21,121625.64,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN017166,ACC0144,2025-05-02,120779.03,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN012968,ACC0348,2025-07-11,56609.49,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN002977,ACC0236,2025-01-21,131585.9,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN007852,ACC0173,2025-07-28,99317.45,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN016387,ACC0411,2025-03-09,115852.14,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN009097,ACC0345,2025-01-24,25244.35,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN019389,ACC0419,2025-01-07,123204.97,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN019361,ACC0466,2025-02-09,123542.05,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN007942,ACC0126,2025-01-28,17511.36,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN000479,ACC0104,2025-07-30,94102.57,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN010312,ACC0043,2025-05-14,143563.6,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN002472,ACC0015,2025-06-08,106151.01,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN015468,ACC0300,2025-06-23,138216.28,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN016516,ACC0026,2025-06-07,91429.63,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN016996,ACC0325,2025-05-17,65716.63,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015287,ACC0426,2025-06-25,47757.44,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN017101,ACC0120,2025-01-16,50071.03,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN004388,ACC0187,2025-07-15,387.61,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN001673,ACC0230,2025-06-28,65462.69,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN008520,ACC0216,2025-05-28,83033.27,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN002349,ACC0194,2025-07-07,4000.72,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN004666,ACC0479,2025-02-10,76659.2,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN007890,ACC0347,2025-06-12,100261.05,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN002366,ACC0419,2025-06-27,70291.99,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN002560,ACC0352,2025-03-20,142726.61,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN001977,ACC0227,2025-06-28,7211.02,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN014703,ACC0179,2025-06-28,100373.63,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN004718,ACC0161,2025-07-25,99003.0,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012128,ACC0254,2025-01-05,38812.92,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN015474,ACC0403,2025-05-23,86415.56,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN008459,ACC0489,2025-05-22,49987.95,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN006278,ACC0338,2025-04-24,80150.02,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN004220,ACC0189,2025-07-04,108798.02,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN010368,ACC0260,2025-04-12,131207.2,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN017063,ACC0104,2025-02-14,14344.98,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN009521,ACC0173,2025-01-18,127466.95,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN001077,ACC0477,2025-01-10,14014.29,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN011997,ACC0485,2025-01-20,85149.97,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN010428,ACC0393,2025-04-09,42962.96,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN008558,ACC0359,2025-02-08,97235.1,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN018833,ACC0264,2025-05-24,137688.71,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN003177,ACC0254,2025-02-11,26860.34,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN012471,ACC0498,2025-04-15,149042.86,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN011368,ACC0287,2025-05-06,114597.87,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN010433,ACC0339,2025-04-27,60818.91,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN004872,ACC0370,2025-07-07,54997.88,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015504,ACC0428,2025-04-01,67543.12,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN019793,ACC0408,2025-05-20,26100.34,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN008059,ACC0120,2025-03-12,51091.02,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN012244,ACC0205,2025-03-12,109293.73,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN004662,ACC0215,2025-05-02,48063.71,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN005673,ACC0216,2025-06-14,93845.21,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN003209,ACC0286,2025-05-16,122605.63,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN008490,ACC0296,2025-07-05,90110.87,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN004565,ACC0091,2025-01-26,13560.56,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN011929,ACC0028,2025-07-08,36583.87,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN016830,ACC0050,2025-03-28,38975.59,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN007747,ACC0394,2025-06-06,128796.43,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN009731,ACC0072,2025-05-13,51114.59,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012468,ACC0371,2025-02-25,57110.38,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN004112,ACC0009,2025-07-19,35201.42,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN005439,ACC0061,2025-01-09,24645.76,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN010164,ACC0337,2025-03-03,49260.37,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN010093,ACC0016,2025-02-21,135286.03,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN014808,ACC0398,2025-04-28,124060.07,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN007364,ACC0112,2025-05-05,137082.7,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN014342,ACC0103,2025-02-22,71524.52,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN004993,ACC0409,2025-01-03,132717.41,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN009283,ACC0196,2025-04-27,91983.88,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN009479,ACC0341,2025-06-21,133426.58,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN007963,ACC0360,2025-01-11,26860.68,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN013125,ACC0038,2025-02-04,133002.08,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN012364,ACC0113,2025-07-22,1953.27,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN007225,ACC0213,2025-04-27,30009.46,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN003331,ACC0389,2025-03-16,33733.78,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN015085,ACC0317,2025-06-03,6880.22,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN004458,ACC0146,2025-07-17,118878.52,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
