txn_id,account_id,amount,merchant,txn_date,fraud_type,flagged_date,fraud_flag,risk_level
TXN000056,ACC0163,52353.04,Uber,2025-05-03,,,normal,Low
TXN000057,ACC0148,86042.85,Unknown_POS,2025-02-01,,,normal,Low
TXN000058,ACC0459,122765.7,Swiggy,2025-04-12,,,normal,High
TXN000059,ACC0149,43180.17,Flipkart,2025-01-11,,,normal,Low
TXN000060,ACC0178,98413.01,ATM_Withdrawal,2025-04-24,Card Skimming,2025-02-17,fraud,High
TXN000061,ACC0110,124201.36,Uber,2025-02-21,,,normal,High
TXN000062,ACC0478,104440.89,Swiggy,2025-05-24,,,normal,High
TXN000063,ACC0056,111146.6,Zomato,2025-06-07,,,normal,High
TXN000064,ACC0125,100491.6,Zomato,2025-01-13,,,normal,High
TXN000065,ACC0327,7921.04,Unknown_POS,2025-03-01,,,normal,Low
TXN000066,ACC0170,70886.97,Swiggy,2025-07-03,,,normal,Low
TXN000067,ACC0003,146687.71,Swiggy,2025-05-21,,,normal,High
TXN000068,ACC0209,140258.06,ATM_Withdrawal,2025-06-17,,,normal,High
TXN000069,ACC0245,29958.42,Uber,2025-06-16,Phishing,2025-01-20,fraud,Medium
TXN000070,ACC0165,96902.39,Flipkart,2025-03-15,,,normal,Low
TXN000071,ACC0334,34871.42,Amazon,2025-05-27,,,normal,Low
TXN000072,ACC0468,62711.85,Swiggy,2025-02-14,,,normal,Low
TXN000073,ACC0479,149575.91,Unknown_POS,2025-01-10,,,normal,High
TXN000074,ACC0404,27987.43,Uber,2025-05-07,,,normal,Low
TXN000075,ACC0449,1439.61,Flipkart,2025-01-10,,,normal,Low
TXN000076,ACC0476,42720.02,ATM_Withdrawal,2025-03-27,,,normal,Low
TXN000077,ACC0456,127666.41,ATM_Withdrawal,2025-02-04,,,normal,High
TXN000078,ACC0140,121331.64,BigBasket,2025-02-19,,,normal,High
TXN000079,ACC0084,68864.22,Uber,2025-07-07,,,normal,Low
TXN000080,ACC0368,2161.93,BigBasket,2025-02-17,,,normal,Low
TXN000081,ACC0405,85188.79,Zomato,2025-03-17,,,normal,Low
TXN000082,ACC0090,128429.17,Unknown_POS,2025-06-06,,,normal,High
TXN000083,ACC0424,77316.33,Flipkart,2025-04-20,,,normal,Low
TXN000084,ACC0206,14353.0,Swiggy,2025-06-21,,,normal,Low
TXN000085,ACC0245,140377.02,Amazon,2025-03-24,Phishing,2025-01-20,fraud,Critical
TXN000086,ACC0134,35366.41,Uber,2025-04-09,,,normal,Low
TXN000087,ACC0489,45326.78,Amazon,2025-03-26,,,normal,Low
TXN000088,ACC0134,53964.84,Zomato,2025-06-17,,,normal,Low
TXN000089,ACC0032,17777.82,Uber,2025-06-20,,,normal,Low
TXN000090,ACC0082,102926.74,Uber,2025-04-14,,,normal,High
TXN000091,ACC0354,95824.76,Uber,2025-01-31,,,normal,Low
TXN000092,ACC0189,33166.34,Swiggy,2025-06-07,,,normal,Low
TXN000093,ACC0245,68274.05,BigBasket,2025-02-09,Phishing,2025-01-20,fraud,High
TXN000094,ACC0213,82407.71,ATM_Withdrawal,2025-06-29,,,normal,Low
TXN000095,ACC0388,120309.15,Zomato,2025-05-18,,,normal,High
TXN000096,ACC0391,102067.27,Flipkart,2025-03-05,,,normal,High
TXN000097,ACC0270,79249.56,BigBasket,2025-04-25,,,normal,Low
TXN000098,ACC0040,16875.71,Zomato,2025-05-25,,,normal,Low
TXN000099,ACC0294,22520.36,BigBasket,2025-05-18,,,normal,Low
TXN000100,ACC0438,66303.99,Zomato,2025-05-14,,,normal,Low
TXN000101,ACC0368,73349.75,ATM_Withdrawal,2025-05-30,,,normal,Low
TXN000102,ACC0415,68042.17,Unknown_POS,2025-01-15,Identity Theft,2025-04-12,fraud,High
TXN000103,ACC0234,8707.63,ATM_Withdrawal,2025-05-25,,,normal,Low
TXN000104,ACC0345,46260.03,Amazon,2025-07-26,,,normal,Low
TXN000105,ACC0203,122477.16,Zomato,2025-03-07,,,normal,High
TXN000106,ACC0297,6841.21,BigBasket,2025-01-19,,,normal,Low
TXN000107,ACC0359,81197.47,Amazon,2025-01-17,,,normal,Low
TXN000108,ACC0479,147921.28,ATM_Withdrawal,2025-01-18,,,normal,High
TXN000109,ACC0017,61359.6,Swiggy,2025-03-15,,,normal,Low
TXN000110,ACC0393,146751.08,Unknown_POS,2025-06-14,,,normal,High
TXN000111,ACC0192,67308.14,Unknown_POS,2025-04-08,Phishing,2025-05-07,fraud,High
TXN000112,ACC0193,102425.42,Swiggy,2025-01-21,,,normal,High
TXN000113,ACC0335,17839.04,Unknown_POS,2025-03-31,,,normal,Low
TXN000114,ACC0271,109192.33,Zomato,2025-02-02,,,normal,High
TXN000115,ACC0428,113439.1,Uber,2025-01-01,,,normal,High
TXN000116,ACC0238,107878.14,Unknown_POS,2025-06-22,,,normal,High
TXN000117,ACC0273,123512.9,Zomato,2025-04-08,,,normal,High
TXN000118,ACC0236,23310.45,Zomato,2025-03-30,,,normal,Low
TXN000119,ACC0480,114835.21,Amazon,2025-07-05,,,normal,High
TXN000120,ACC0415,62915.13,Amazon,2025-06-19,Identity Theft,2025-04-12,fraud,High
TXN000121,ACC0124,10140.27,Amazon,2025-02-22,,,normal,Low
TXN000122,ACC0229,100819.94,Amazon,2025-06-03,,,normal,High
TXN000123,ACC0126,6683.3,ATM_Withdrawal,2025-07-09,,,normal,Low
TXN000124,ACC0120,32629.52,Amazon,2025-05-19,,,normal,Low
TXN000125,ACC0072,149022.84,Zomato,2025-05-09,Account Takeover,2025-05-17,fraud,Critical
TXN000126,ACC0418,86437.74,BigBasket,2025-07-07,,,normal,Low
TXN000127,ACC0122,131444.94,Zomato,2025-03-19,,,normal,High
TXN000128,ACC0212,41309.33,Swiggy,2025-03-18,,,normal,Low
TXN000129,ACC0321,64108.73,ATM_Withdrawal,2025-06-23,,,normal,Low
TXN000130,ACC0025,141240.88,Unknown_POS,2025-03-30,,,normal,High
TXN000131,ACC0403,47844.23,Unknown_POS,2025-05-15,,,normal,Low
TXN000132,ACC0210,45018.28,Swiggy,2025-02-08,,,normal,Low
TXN000133,ACC0387,71054.15,Zomato,2025-05-18,,,normal,Low
TXN000134,ACC0154,21695.54,ATM_Withdrawal,2025-07-01,Identity Theft,2025-06-03,fraud,Medium
TXN000135,ACC0469,84379.77,Unknown_POS,2025-01-15,Account Takeover,2025-06-18,fraud,High
TXN000136,ACC0286,20157.21,Zomato,2025-05-16,,,normal,Low
TXN000137,ACC0131,49572.94,Flipkart,2025-02-22,,,normal,Low
TXN000138,ACC0473,127077.65,Flipkart,2025-04-26,,,normal,High
TXN000139,ACC0275,124419.47,Amazon,2025-07-05,,,normal,High
TXN000140,ACC0138,101067.1,Amazon,2025-04-07,,,normal,High
TXN000141,ACC0448,28265.09,Zomato,2025-01-19,,,normal,Low
TXN000142,ACC0246,130427.6,BigBasket,2025-02-23,,,normal,High
TXN000143,ACC0156,31810.58,Zomato,2025-01-04,,,normal,Low
TXN000144,ACC0493,17641.56,ATM_Withdrawal,2025-07-09,,,normal,Low
TXN000145,ACC0469,104359.16,Zomato,2025-03-04,Account Takeover,2025-06-18,fraud,Critical
TXN000146,ACC0204,82834.29,Uber,2025-03-03,,,normal,Low
TXN000147,ACC0195,80070.84,BigBasket,2025-04-30,,,normal,Low
TXN000148,ACC0158,53978.71,ATM_Withdrawal,2025-03-08,,,normal,Low
TXN000149,ACC0239,120432.35,ATM_Withdrawal,2025-01-26,,,normal,High
TXN000150,ACC0390,137153.86,BigBasket,2025-03-23,,,normal,High
TXN000151,ACC0161,6905.03,Zomato,2025-04-16,,,normal,Low
TXN000152,ACC0380,2482.17,Unknown_POS,2025-02-07,,,normal,Low
TXN000153,ACC0152,29468.96,Zomato,2025-02-09,,,normal,Low
TXN000154,ACC0195,125012.74,ATM_Withdrawal,2025-05-26,,,normal,High
TXN000155,ACC0282,141522.51,BigBasket,2025-06-17,,,normal,High
TXN000156,ACC0132,123247.71,ATM_Withdrawal,2025-07-15,,,normal,High
TXN000157,ACC0236,109929.2,BigBasket,2025-02-13,,,normal,High
TXN000158,ACC0087,108061.01,ATM_Withdrawal,2025-02-05,,,normal,High
TXN000159,ACC0095,148549.01,Amazon,2025-05-19,,,normal,High
TXN000160,ACC0269,125868.32,Flipkart,2025-01-09,,,normal,High
TXN000161,ACC0484,100248.92,Amazon,2025-07-29,,,normal,High
TXN000162,ACC0212,126389.58,Zomato,2025-02-05,,,normal,High
TXN000163,ACC0035,22696.9,Zomato,2025-07-01,,,normal,Low
TXN000164,ACC0259,56011.44,ATM_Withdrawal,2025-04-27,,,normal,Low
TXN000165,ACC0338,2408.98,Unknown_POS,2025-05-05,,,normal,Low
TXN000166,ACC0007,79436.18,Uber,2025-01-05,,,normal,Low
TXN000167,ACC0275,2620.53,Unknown_POS,2025-03-15,,,normal,Low
TXN000168,ACC0413,16097.11,Flipkart,2025-02-15,,,normal,Low
TXN000169,ACC0269,36183.28,Uber,2025-02-08,,,normal,Low
TXN000170,ACC0418,40135.34,Unknown_POS,2025-04-01,,,normal,Low
TXN000171,ACC0041,143896.7,ATM_Withdrawal,2025-04-06,,,normal,High
TXN000172,ACC0290,148535.44,Zomato,2025-03-04,,,normal,High
TXN000173,ACC0154,124217.91,Flipkart,2025-06-25,Identity Theft,2025-06-03,fraud,Critical
TXN000174,ACC0335,113949.9,Flipkart,2025-06-16,,,normal,High
TXN000175,ACC0208,56606.58,ATM_Withdrawal,2025-04-08,Card Skimming,2025-06-11,fraud,High
TXN000176,ACC0029,1467.05,Swiggy,2025-06-13,,,normal,Low
TXN000177,ACC0043,126807.2,BigBasket,2025-05-08,,,normal,High
TXN000178,ACC0290,134223.94,Amazon,2025-01-25,,,normal,High
TXN000179,ACC0118,135195.88,ATM_Withdrawal,2025-02-24,,,normal,High
TXN000180,ACC0139,138627.68,Uber,2025-01-12,,,normal,High
TXN000181,ACC0461,84548.3,Amazon,2025-05-20,,,normal,Low
TXN000182,ACC0092,2397.93,Zomato,2025-03-22,,,normal,Low
TXN000183,ACC0301,112850.56,Unknown_POS,2025-02-06,Card Skimming,2025-03-14,fraud,Critical
TXN000184,ACC0476,44926.57,Zomato,2025-01-20,,,normal,Low
TXN000185,ACC0291,101571.39,BigBasket,2025-04-10,,,normal,High
TXN000186,ACC0197,110974.79,Flipkart,2025-07-13,,,normal,High
TXN000187,ACC0257,146149.78,Amazon,2025-07-10,,,normal,High
TXN000188,ACC0051,34859.99,Flipkart,2025-04-22,,,normal,Low
TXN000189,ACC0175,115362.4,Unknown_POS,2025-06-04,,,normal,High
TXN000190,ACC0497,48990.18,Uber,2025-07-18,,,normal,Low
TXN000191,ACC0402,73615.99,BigBasket,2025-04-26,,,normal,Low
TXN000192,ACC0284,64805.6,Unknown_POS,2025-04-07,,,normal,Low
TXN000193,ACC0044,92811.45,Zomato,2025-07-17,,,normal,Low
TXN000194,ACC0366,12351.6,Swiggy,2025-01-19,,,normal,Low
TXN000195,ACC0195,117594.35,Swiggy,2025-07-02,,,normal,High
TXN000196,ACC0379,47535.9,Flipkart,2025-04-10,,,normal,Low
TXN000197,ACC0047,141446.89,ATM_Withdrawal,2025-01-02,,,normal,High
TXN000198,ACC0185,40501.48,Swiggy,2025-07-14,,,normal,Low
TXN000199,ACC0045,64675.38,Unknown_POS,2025-02-17,,,normal,Low
TXN000200,ACC0053,13488.35,Flipkart,2025-01-07,,,normal,Low
TXN000201,ACC0306,117676.59,Unknown_POS,2025-06-03,,,normal,High
TXN000202,ACC0007,62100.82,Flipkart,2025-03-16,,,normal,Low
TXN000203,ACC0372,135785.88,Zomato,2025-05-24,,,normal,High
TXN000204,ACC0293,25478.96,Unknown_POS,2025-05-14,,,normal,Low
TXN000205,ACC0087,40374.4,Uber,2025-02-05,,,normal,Low
TXN000206,ACC0253,9536.91,Unknown_POS,2025-02-07,,,normal,Low
TXN000207,ACC0142,44997.85,Flipkart,2025-04-18,,,normal,Low
TXN000208,ACC0185,141636.13,ATM_Withdrawal,2025-03-06,,,normal,High
TXN000209,ACC0305,29372.46,Flipkart,2025-06-07,,,normal,Low
TXN000210,ACC0070,1064.77,Unknown_POS,2025-03-19,,,normal,Low
TXN000211,ACC0171,57014.5,BigBasket,2025-06-08,,,normal,Low
TXN000212,ACC0226,64620.9,Swiggy,2025-03-27,,,normal,Low
TXN000213,ACC0154,90501.53,Zomato,2025-03-24,Identity Theft,2025-06-03,fraud,High
TXN000214,ACC0246,26686.71,Unknown_POS,2025-03-22,,,normal,Low
TXN000215,ACC0496,43752.65,ATM_Withdrawal,2025-03-23,,,normal,Low
TXN000216,ACC0496,117307.06,BigBasket,2025-05-28,,,normal,High
TXN000217,ACC0193,122483.35,Unknown_POS,2025-03-13,,,normal,High
TXN000218,ACC0187,139813.47,Zomato,2025-01-30,,,normal,High
TXN000219,ACC0304,27030.09,Amazon,2025-05-20,,,normal,Low
TXN000220,ACC0488,69270.25,Zomato,2025-07-06,,,normal,Low
TXN000221,ACC0225,43735.11,Flipkart,2025-07-24,,,normal,Low
TXN000222,ACC0420,119267.09,ATM_Withdrawal,2025-07-23,,,normal,High
TXN000223,ACC0072,45459.75,Uber,2025-06-12,Account Takeover,2025-05-17,fraud,Medium
TXN000224,ACC0338,107299.7,Unknown_POS,2025-02-09,,,normal,High
TXN000225,ACC0038,148605.56,ATM_Withdrawal,2025-04-25,,,normal,High
TXN000226,ACC0299,80178.39,Unknown_POS,2025-04-13,,,normal,Low
TXN000227,ACC0279,118618.6,BigBasket,2025-01-10,,,normal,High
TXN000228,ACC0360,80559.05,Flipkart,2025-07-27,,,normal,Low
TXN000229,ACC0056,37272.23,BigBasket,2025-07-16,,,normal,Low
TXN000230,ACC0086,91921.05,Unknown_POS,2025-06-15,,,normal,Low
TXN000231,ACC0496,49772.93,Unknown_POS,2025-07-12,,,normal,Low
TXN000232,ACC0055,14836.05,Zomato,2025-01-03,,,normal,Low
TXN000233,ACC0262,77843.73,Zomato,2025-07-11,,,normal,Low
TXN000234,ACC0229,58700.57,Swiggy,2025-04-06,,,normal,Low
TXN000235,ACC0177,72441.52,Uber,2025-01-07,,,normal,Low
TXN000236,ACC0213,17454.6,Swiggy,2025-01-22,,,normal,Low
TXN000237,ACC0179,51492.85,Zomato,2025-03-21,,,normal,Low
TXN000238,ACC0267,52277.63,Flipkart,2025-05-04,,,normal,Low
TXN000239,ACC0225,104529.65,BigBasket,2025-07-04,,,normal,High
TXN000240,ACC0035,6750.22,Flipkart,2025-03-18,,,normal,Low
TXN000241,ACC0012,97213.09,Swiggy,2025-03-29,,,normal,Low
TXN000242,ACC0477,36624.75,Swiggy,2025-07-09,,,normal,Low
TXN000243,ACC0283,49681.9,Unknown_POS,2025-02-10,,,normal,Low
TXN000244,ACC0491,34816.74,Unknown_POS,2025-04-29,,,normal,Low
TXN000245,ACC0323,27998.72,Unknown_POS,2025-02-17,,,normal,Low
TXN000246,ACC0203,110621.39,Zomato,2025-01-08,,,normal,High
TXN000247,ACC0231,64461.45,Amazon,2025-06-01,,,normal,Low
TXN000248,ACC0361,30907.38,Flipkart,2025-02-24,,,normal,Low
TXN000249,ACC0296,119935.38,Swiggy,2025-01-27,,,normal,High
TXN000250,ACC0188,29601.29,Flipkart,2025-03-25,,,normal,Low
TXN000251,ACC0135,129402.35,BigBasket,2025-06-21,,,normal,High
TXN000252,ACC0306,91715.7,Flipkart,2025-04-10,,,normal,Low
TXN000253,ACC0179,126835.39,Swiggy,2025-04-01,,,normal,High
TXN000254,ACC0417,105912.95,Uber,2025-06-22,,,normal,High
TXN000255,ACC0471,88545.75,Swiggy,2025-06-07,,,normal,Low
TXN000256,ACC0161,35823.98,Flipkart,2025-01-31,,,normal,Low
TXN000257,ACC0094,104030.81,Unknown_POS,2025-04-06,,,normal,High
TXN000258,ACC0215,20723.2,Unknown_POS,2025-06-02,,,normal,Low
TXN000259,ACC0217,73026.2,Swiggy,2025-02-17,,,normal,Low
TXN000260,ACC0285,73471.82,Swiggy,2025-02-12,,,normal,Low
TXN000261,ACC0096,126305.68,Amazon,2025-03-22,,,normal,High
TXN000262,ACC0444,142778.7,ATM_Withdrawal,2025-04-02,,,normal,High
TXN000263,ACC0070,122291.63,ATM_Withdrawal,2025-02-19,,,normal,High
TXN000264,ACC0210,73784.3,ATM_Withdrawal,2025-06-25,,,normal,Low
TXN000265,ACC0251,12446.46,Amazon,2025-02-12,,,normal,Low
TXN000266,ACC0408,33118.4,Amazon,2025-07-14,,,normal,Low
TXN000267,ACC0141,80664.41,Swiggy,2025-02-27,,,normal,Low
TXN000268,ACC0400,84869.29,ATM_Withdrawal,2025-04-28,Identity Theft,2025-03-01,fraud,High
TXN000269,ACC0282,17025.99,Flipkart,2025-05-11,,,normal,Low
TXN000270,ACC0138,81488.77,BigBasket,2025-07-18,,,normal,Low
TXN000271,ACC0278,113530.1,ATM_Withdrawal,2025-07-30,,,normal,High
TXN000272,ACC0280,148466.87,Flipkart,2025-02-25,Account Takeover,2025-03-03,fraud,Critical
TXN000273,ACC0377,112714.26,Uber,2025-06-17,Identity Theft,2025-07-25,fraud,Critical
TXN000274,ACC0448,67487.36,BigBasket,2025-01-09,,,normal,Low
TXN000275,ACC0442,13093.1,Flipkart,2025-07-29,,,normal,Low
TXN000276,ACC0398,35580.06,BigBasket,2025-07-27,Phishing,2025-01-21,fraud,Medium
TXN000277,ACC0441,91558.76,Unknown_POS,2025-07-01,,,normal,Low
TXN000278,ACC0085,20928.28,Zomato,2025-06-07,Card Skimming,2025-07-11,fraud,Medium
TXN000279,ACC0417,120825.8,BigBasket,2025-02-22,,,normal,High
TXN000280,ACC0273,89548.81,Swiggy,2025-03-13,,,normal,Low
TXN000281,ACC0166,43930.57,Uber,2025-06-30,,,normal,Low
TXN000282,ACC0488,147823.97,Flipkart,2025-05-12,,,normal,High
TXN000283,ACC0070,117864.37,Amazon,2025-07-12,,,normal,High
TXN000284,ACC0142,19076.88,Swiggy,2025-06-17,,,normal,Low
TXN000285,ACC0128,106723.66,Zomato,2025-02-07,,,normal,High
TXN000286,ACC0390,58935.48,Swiggy,2025-06-23,,,normal,Low
TXN000287,ACC0296,40344.14,Unknown_POS,2025-06-11,,,normal,Low
TXN000288,ACC0193,11373.67,Flipkart,2025-04-26,,,normal,Low
TXN000289,ACC0207,112482.87,BigBasket,2025-05-12,,,normal,High
TXN000290,ACC0233,49127.03,Amazon,2025-05-05,Account Takeover,2025-05-09,fraud,Medium
TXN000291,ACC0445,127082.74,Flipkart,2025-07-18,,,normal,High
TXN000292,ACC0375,95244.34,BigBasket,2025-04-28,Identity Theft,2025-03-18,fraud,High
TXN000293,ACC0436,119361.91,Unknown_POS,2025-01-17,,,normal,High
TXN000294,ACC0112,123735.9,ATM_Withdrawal,2025-04-20,,,normal,High
TXN000295,ACC0138,124260.13,BigBasket,2025-03-24,,,normal,High
TXN000296,ACC0281,19632.61,ATM_Withdrawal,2025-05-28,,,normal,Low
TXN000297,ACC0404,134128.49,Amazon,2025-03-29,,,normal,High
TXN000298,ACC0024,93945.62,ATM_Withdrawal,2025-01-26,,,normal,Low
TXN000299,ACC0009,139418.46,Swiggy,2025-02-01,,,normal,High
TXN000300,ACC0226,151.36,Unknown_POS,2025-04-27,,,normal,Low
TXN000301,ACC0104,136415.61,Uber,2025-06-26,,,normal,High
TXN000302,ACC0082,14046.33,BigBasket,2025-03-12,,,normal,Low
TXN000303,ACC0129,55807.97,Swiggy,2025-01-22,,,normal,Low
TXN000304,ACC0027,93859.36,Zomato,2025-04-12,,,normal,Low
TXN000305,ACC0220,13725.32,Flipkart,2025-06-17,Card Skimming,2025-05-04,fraud,Medium
TXN000306,ACC0001,71547.17,Swiggy,2025-02-24,Phishing,2025-06-07,fraud,High
TXN000307,ACC0304,77940.67,ATM_Withdrawal,2025-02-27,,,normal,Low
TXN000308,ACC0005,104354.79,Flipkart,2025-01-03,,,normal,High
TXN000309,ACC0441,104119.95,ATM_Withdrawal,2025-04-19,,,normal,High
TXN000310,ACC0037,57491.34,Flipkart,2025-02-28,,,normal,Low
TXN000311,ACC0053,55165.88,Uber,2025-03-22,,,normal,Low
TXN000312,ACC0071,116030.4,Swiggy,2025-04-08,Phishing,2025-01-30,fraud,Critical
TXN000313,ACC0329,21470.82,Amazon,2025-06-23,,,normal,Low
TXN000314,ACC0313,24659.28,BigBasket,2025-06-16,,,normal,Low
TXN000315,ACC0370,94230.6,Swiggy,2025-02-24,,,normal,Low
TXN000316,ACC0471,92430.6,ATM_Withdrawal,2025-04-16,,,normal,Low
TXN000317,ACC0441,13048.87,Flipkart,2025-02-25,,,normal,Low
TXN000318,ACC0072,18517.43,Unknown_POS,2025-07-12,Account Takeover,2025-05-17,fraud,Medium
TXN000319,ACC0180,47209.83,Swiggy,2025-04-20,,,normal,Low
TXN000320,ACC0127,96710.85,Zomato,2025-03-12,,,normal,Low
TXN000321,ACC0284,90021.18,Uber,2025-06-03,,,normal,Low
TXN000322,ACC0399,4072.32,Uber,2025-06-26,,,normal,Low
TXN000323,ACC0106,91058.68,Zomato,2025-05-13,,,normal,Low
TXN000324,ACC0383,44366.53,Amazon,2025-04-11,,,normal,Low
TXN000325,ACC0402,143202.99,ATM_Withdrawal,2025-07-23,,,normal,High
TXN000326,ACC0198,36200.21,Flipkart,2025-01-29,,,normal,Low
TXN000327,ACC0271,148033.04,BigBasket,2025-01-04,,,normal,High
TXN000328,ACC0068,129129.06,Unknown_POS,2025-04-10,,,normal,High
TXN000329,ACC0188,102457.16,ATM_Withdrawal,2025-05-20,,,normal,High
TXN000330,ACC0489,10995.13,Flipkart,2025-07-17,,,normal,Low
TXN000331,ACC0008,32400.65,Amazon,2025-03-09,,,normal,Low
TXN000332,ACC0486,59726.35,Uber,2025-07-22,,,normal,Low
TXN000333,ACC0322,75182.29,Unknown_POS,2025-07-02,,,normal,Low
TXN000334,ACC0217,60371.5,Swiggy,2025-06-29,,,normal,Low
TXN000335,ACC0143,46520.54,Zomato,2025-01-22,,,normal,Low
TXN000336,ACC0499,23348.8,BigBasket,2025-07-26,,,normal,Low
TXN000337,ACC0201,95162.42,Flipkart,2025-05-31,,,normal,Low
TXN000338,ACC0159,65651.03,Zomato,2025-06-28,,,normal,Low
TXN000339,ACC0030,12977.61,Unknown_POS,2025-03-04,,,normal,Low
TXN000340,ACC0060,91863.9,Amazon,2025-04-27,,,normal,Low
TXN000341,ACC0159,111266.94,Swiggy,2025-06-20,,,normal,High
TXN000342,ACC0062,106199.7,Amazon,2025-01-04,,,normal,High
TXN000343,ACC0084,142954.78,Uber,2025-05-08,,,normal,High
TXN000344,ACC0086,19083.24,Uber,2025-04-06,,,normal,Low
TXN000345,ACC0376,115725.97,Amazon,2025-01-31,,,normal,High
TXN000346,ACC0172,64427.22,Flipkart,2025-07-26,,,normal,Low
TXN000347,ACC0135,146258.84,Flipkart,2025-07-02,,,normal,High
TXN000348,ACC0255,76641.74,Amazon,2025-04-27,,,normal,Low
TXN000349,ACC0256,25073.86,Swiggy,2025-05-26,Phishing,2025-02-10,fraud,Medium
TXN000350,ACC0131,15480.59,Flipkart,2025-07-17,,,normal,Low
TXN000351,ACC0117,76348.29,Amazon,2025-07-09,,,normal,Low
TXN000352,ACC0440,36720.49,ATM_Withdrawal,2025-01-04,,,normal,Low
TXN000353,ACC0187,138037.97,Swiggy,2025-04-09,,,normal,High
